loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,previous_defaults,credit_utilization_ratio,monthly_emi
38,5,Graduate,Yes,8000000,27200000,6,348,6400000,300000,16700000,7100000,Rejected,0,0.6361,16301.11
39,5,Graduate,No,3600000,7700000,16,830,7000000,1300000,10000000,2900000,Approved,0,0.302,71149.17
40,3,Not Graduate,Yes,1500000,5100000,6,352,100000,200000,5600000,900000,Rejected,0,0.8472,7560.88
41,1,Graduate,No,7800000,18100000,2,712,8600000,11200000,21700000,9000000,Approved,0,0.3634,78375.09
42,2,Not Graduate,No,9100000,24900000,16,822,22300000,12100000,31000000,5200000,Approved,0,0.1608,16334.55
43,3,Graduate,No,1400000,3400000,6,540,200000,1500000,3900000,800000,Rejected,0,0.9145,11023.92
44,2,Graduate,Yes,800000,2300000,12,342,2200000,1300000,1800000,800000,Rejected,3,0.4246,17929.82
45,5,Graduate,No,6500000,13400000,18,787,18200000,300000,16200000,5400000,Approved,0,0.4001,167784.16
46,4,Graduate,No,8000000,27800000,16,331,13000000,6300000,21400000,10900000,Rejected,1,0.9326,51689.67
47,3,Not Graduate,Yes,4200000,14600000,6,679,2400000,6900000,8700000,4900000,Approved,0,0.1209,56784.61
48,1,Graduate,Yes,4900000,19100000,14,677,5400000,9100000,17700000,6500000,Approved,0,0.3388,67217.15
49,3,Not Graduate,No,5500000,20500000,12,634,800000,8600000,18500000,8200000,Approved,0,0.0661,140136.04
50,1,Not Graduate,Yes,9500000,19100000,16,662,100000,10500000,37700000,11700000,Approved,0,0.2122,211358.9
51,4,Graduate,No,7300000,25400000,16,502,500000,1800000,20500000,10500000,Rejected,3,0.6598,109242.69
52,2,Graduate,No,8700000,24700000,10,435,6800000,3500000,21800000,11300000,Rejected,2,0.6984,170202.1
53,5,Not Graduate,No,3800000,7600000,4,689,8700000,100000,9300000,3400000,Approved,0,0.4244,93915.19
54,1,Not Graduate,Yes,8400000,23000000,12,657,15400000,14800000,31900000,8200000,Approved,0,0.3189,2337.04
55,2,Graduate,Yes,5100000,19700000,20,590,7400000,9300000,19400000,3400000,Approved,0,0.2425,59929.89
56,5,Not Graduate,No,6700000,24500000,12,818,1200000,5600000,16300000,6200000,Approved,0,0.3739,177290.44
57,2,Not Graduate,No,4300000,10600000,18,431,2100000,1500000,9300000,5200000,Rejected,0,0.9203,92847.59
58,5,Graduate,Yes,9300000,30500000,18,841,19300000,10300000,34600000,8700000,Approved,0,0.0588,147245.72
59,1,Graduate,No,7400000,18400000,20,421,18500000,9100000,17500000,4100000,Rejected,0,0.9395,114314.94
60,4,Not Graduate,Yes,5500000,18200000,16,797,-100000,4900000,18600000,4800000,Approved,0,0.0845,55788.12
61,2,Not Graduate,No,8500000,18900000,18,478,23800000,16300000,25900000,11400000,Rejected,0,0.8386,129045.72
62,3,Not Graduate,Yes,9600000,30500000,18,669,4700000,1900000,26500000,9300000,Approved,0,0.1621,183507.3
63,5,Not Graduate,Yes,8800000,28900000,6,365,24400000,8600000,27400000,4700000,Rejected,2,0.4293,107379.85
64,3,Not Graduate,Yes,3300000,7500000,20,586,1600000,5600000,10500000,2900000,Approved,0,0.2259,68737.24
65,4,Graduate,Yes,3900000,12300000,18,784,7600000,6900000,13100000,2800000,Approved,0,0.3076,97965.17
66,1,Graduate,No,4100000,10300000,12,364,9500000,6100000,14900000,2800000,Rejected,1,0.5786,18497.73
67,3,Not Graduate,No,8300000,29100000,10,715,6100000,11900000,24100000,11900000,Approved,0,0.0718,109312.01
68,0,Not Graduate,Yes,2700000,10100000,20,693,200000,1700000,5900000,1400000,Rejected,2,0.7097,32131.58
69,4,Graduate,No,5600000,12400000,4,777,5500000,3100000,11800000,5500000,Approved,0,0.411,112285.92
70,0,Graduate,No,1900000,5000000,12,312,4000000,2800000,4900000,2400000,Rejected,4,0.5799,13846.82
71,4,Not Graduate,Yes,500000,1500000,20,340,100000,200000,1900000,600000,Rejected,2,0.4798,9336.99
72,5,Graduate,Yes,5300000,18600000,4,386,2700000,9700000,11900000,4200000,Approved,0,0.227,135645.21
73,5,Not Graduate,No,7000000,18300000,4,418,18400000,11700000,21500000,7600000,Rejected,0,0.379,85368.53
74,3,Not Graduate,Yes,5800000,16700000,16,735,3900000,9400000,12600000,5600000,Approved,0,0.3782,154113.49
75,2,Not Graduate,No,2600000,8400000,6,494,6500000,3800000,5600000,2000000,Rejected,1,0.8458,75314.92
76,2,Not Graduate,No,1900000,6500000,18,671,600000,2500000,4800000,1100000,Approved,0,0.2852,5879.27
77,4,Graduate,No,5700000,14800000,16,697,14300000,7800000,12900000,6300000,Approved,0,0.1912,38745.09
78,0,Graduate,No,9000000,33500000,8,801,11600000,8900000,35400000,11100000,Rejected,0,0.3699,249474.68
79,2,Not Graduate,No,8500000,29400000,12,576,17600000,5600000,25200000,9000000,Approved,0,0.2719,237585.41
80,0,Not Graduate,No,700000,1400000,14,639,1900000,700000,2400000,900000,Approved,0,0.3804,1994.86
81,4,Graduate,No,3500000,8900000,4,470,1300000,2200000,12300000,2000000,Rejected,2,0.7289,1531.1
82,0,Not Graduate,No,8800000,31200000,4,826,2900000,500000,33300000,8600000,Approved,0,0.3638,41349.01
83,2,Not Graduate,Yes,9900000,21200000,16,363,25500000,11400000,26600000,6800000,Rejected,0,0.7091,287598.69
84,3,Graduate,No,3600000,8600000,20,613,9400000,300000,10300000,3300000,Approved,0,0.2157,18899.96
85,3,Not Graduate,Yes,3000000,8200000,16,713,5300000,5800000,11000000,3400000,Approved,0,0.4332,43972.92
86,2,Graduate,No,6800000,21200000,16,439,17100000,4700000,23300000,3600000,Rejected,0,0.6747,168269.52
87,5,Not Graduate,Yes,1100000,3800000,18,387,1300000,1200000,3800000,1600000,Rejected,1,0.7131,654.55
88,1,Not Graduate,Yes,8700000,28300000,8,402,20400000,13600000,27900000,10200000,Rejected,1,0.4823,153389.08
89,4,Graduate,Yes,2000000,8000000,6,837,5100000,2600000,3900000,2900000,Approved,0,0.3003,16159.82
90,2,Not Graduate,No,9800000,37600000,10,641,24100000,0,23400000,7600000,Rejected,0,0.2786,246484.06
91,4,Graduate,No,5700000,21100000,18,489,500000,4300000,12500000,6000000,Rejected,0,0.4609,47125.42
92,4,Graduate,No,8800000,20700000,18,540,19200000,3200000,22400000,12700000,Rejected,1,0.3858,176267.3
93,4,Graduate,No,3800000,8900000,4,844,9100000,3500000,13100000,4700000,Approved,0,0.2917,74726.01
94,1,Graduate,No,1700000,6400000,10,452,900000,1100000,5600000,2100000,Rejected,1,0.8082,10982.39
95,2,Graduate,No,1000000,2000000,10,366,1200000,400000,3200000,1300000,Rejected,2,0.664,1014.98
96,5,Graduate,No,300000,1100000,2,300,100000,500000,700000,400000,Approved,0,0.1407,3580.93
97,2,Graduate,Yes,6600000,15000000,18,470,1200000,4800000,18200000,7000000,Rejected,1,0.7499,55669.68
98,2,Not Graduate,No,8700000,25000000,20,861,14700000,8500000,23200000,7300000,Approved,0,0.082,205278.1
99,4,Graduate,No,9400000,29400000,12,562,25900000,15200000,36400000,7100000,Approved,0,0.2267,219433.18
100,0,Graduate,No,4400000,10800000,14,463,2400000,4800000,13800000,4700000,Rejected,0,0.448,58651.41
101,4,Not Graduate,No,400000,900000,12,478,700000,100000,1200000,100000,Rejected,0,0.4607,7075.98
102,2,Not Graduate,Yes,300000,1100000,2,702,300000,200000,500000,200000,Approved,0,0.1309,5287.27
103,2,Not Graduate,Yes,4300000,12900000,20,618,11400000,3600000,11400000,2400000,Approved,0,0.2047,103739.42
104,4,Graduate,No,1600000,4500000,12,633,700000,1700000,4100000,1900000,Approved,0,0.0705,19833.45
105,5,Not Graduate,Yes,6200000,23600000,10,331,18500000,10300000,23800000,8700000,Approved,3,0.5887,49809.94
106,3,Not Graduate,Yes,4200000,9700000,16,841,7800000,300000,16700000,5100000,Approved,0,0.2547,32466.78
107,4,Not Graduate,Yes,9000000,18100000,12,764,600000,16500000,20800000,11600000,Approved,0,0.2433,140750.47
108,0,Graduate,No,2700000,10600000,6,591,1300000,2700000,9900000,1800000,Approved,0,0.2031,35370.42
109,1,Graduate,Yes,9700000,35900000,2,719,19600000,7600000,20400000,10900000,Approved,0,0.3857,124517.5
110,2,Graduate,No,3300000,6800000,14,317,3400000,300000,11700000,3600000,Rejected,0,0.4372,8771.97
111,0,Not Graduate,No,300000,1100000,8,778,800000,200000,900000,100000,Approved,0,0.2523,6287.78
112,3,Graduate,Yes,7400000,18200000,14,302,5600000,3100000,17900000,5000000,Rejected,0,0.3872,46131.5
113,5,Not Graduate,No,7100000,19700000,8,502,7300000,5600000,25300000,9800000,Rejected,3,0.3927,40785.81
114,5,Not Graduate,Yes,7300000,22100000,18,879,19500000,10600000,19300000,9800000,Approved,0,0.2795,87883.13
115,1,Not Graduate,No,8400000,23400000,14,437,15400000,5800000,33400000,8100000,Rejected,1,0.6896,55805.69
116,0,Not Graduate,Yes,3300000,10800000,12,797,600000,6000000,7700000,3300000,Approved,0,0.4012,56196.36
117,4,Not Graduate,Yes,5800000,23200000,18,456,16100000,4200000,22600000,7500000,Rejected,2,0.6847,62839.21
118,0,Not Graduate,No,600000,1600000,6,647,1500000,600000,1500000,700000,Approved,0,0.4339,7855.96
119,0,Not Graduate,No,7200000,15800000,12,379,12700000,12200000,21500000,3600000,Rejected,2,0.3792,112805.56
120,1,Not Graduate,Yes,9100000,32900000,2,717,2200000,2000000,23600000,5900000,Approved,0,0.0892,54021.72
121,5,Graduate,No,900000,2300000,16,545,100000,200000,2700000,800000,Rejected,2,0.3764,4088.48
122,2,Graduate,No,800000,3200000,8,317,300000,1000000,2000000,900000,Rejected,2,0.4612,20543.18
123,1,Not Graduate,No,8500000,32900000,10,570,5100000,6200000,20500000,5500000,Approved,0,0.2665,107527.33
124,0,Not Graduate,Yes,9000000,18700000,18,865,26800000,0,20900000,11300000,Approved,0,0.3082,108174.57
125,3,Graduate,No,7000000,19500000,14,719,12200000,10300000,18200000,10200000,Approved,0,0.0682,7270.81
126,3,Graduate,No,200000,600000,16,821,400000,100000,500000,100000,Approved,0,0.4284,2904.86
127,4,Not Graduate,Yes,400000,800000,10,859,900000,500000,800000,200000,Approved,0,0.3869,6465.31
128,3,Not Graduate,No,5100000,18200000,10,395,100000,8000000,15500000,6300000,Rejected,2,0.528,83127.58
129,2,Not Graduate,Yes,700000,2600000,12,429,1600000,1300000,2700000,800000,Rejected,0,0.3963,14435.22
130,3,Graduate,No,400000,1200000,12,861,200000,600000,1100000,200000,Approved,0,0.118,2070.62
131,0,Not Graduate,Yes,9500000,20800000,14,565,15100000,11900000,33900000,13400000,Approved,0,0.1008,69886.83
132,5,Graduate,No,8800000,22600000,10,357,7900000,8600000,18200000,4900000,Rejected,0,0.424,208087.49
133,3,Not Graduate,Yes,1800000,3600000,18,465,600000,500000,5400000,2600000,Rejected,0,0.6611,49726.46
134,4,Not Graduate,Yes,6800000,13900000,8,479,11700000,9100000,25700000,9600000,Rejected,0,0.4975,26959.99
135,3,Not Graduate,No,1500000,5500000,16,717,2100000,800000,4400000,1300000,Approved,0,0.1933,21772.17
136,3,Graduate,No,1600000,5500000,12,425,600000,800000,5400000,900000,Rejected,0,0.9437,9994.89
137,2,Not Graduate,No,4600000,16700000,2,786,200000,5900000,13900000,6100000,Approved,0,0.3237,8059.82
138,5,Not Graduate,Yes,2200000,6700000,6,382,4400000,1300000,8600000,1100000,Rejected,1,0.9194,20886.46
139,3,Not Graduate,Yes,2900000,8500000,12,564,1000000,3100000,7500000,1800000,Approved,0,0.107,12153.58
140,0,Graduate,No,200000,700000,8,501,500000,200000,700000,100000,Rejected,3,0.5793,4141.28
141,2,Not Graduate,Yes,2500000,9400000,10,727,6600000,4100000,9500000,3300000,Approved,0,0.2719,38917.48
142,4,Not Graduate,No,3600000,7500000,6,894,1100000,6500000,7400000,2800000,Approved,0,0.0807,15102.62
143,0,Graduate,Yes,5500000,16700000,18,829,5500000,1300000,12800000,5900000,Approved,0,0.0517,1482.5
144,4,Not Graduate,No,6600000,17400000,20,506,2600000,10000000,25900000,7200000,Rejected,0,0.7523,155570.23
145,2,Graduate,Yes,8600000,32100000,6,802,9400000,16700000,24500000,9800000,Approved,0,0.3067,44195.43
146,5,Not Graduate,No,600000,1500000,14,543,300000,900000,2100000,300000,Rejected,0,0.5965,10608.79
147,3,Graduate,Yes,1400000,3200000,20,772,2400000,900000,5100000,1600000,Approved,0,0.2459,13757.64
148,3,Graduate,No,4000000,11100000,12,572,9700000,100000,12500000,2400000,Approved,0,0.2162,68306.69
149,0,Not Graduate,Yes,4900000,11900000,16,709,14600000,900000,18500000,3800000,Approved,0,0.0596,45112.16
150,5,Graduate,No,2000000,6200000,18,402,4000000,2100000,7200000,1100000,Rejected,0,0.5512,5071.47
151,1,Not Graduate,Yes,5200000,19300000,8,481,14300000,9500000,18800000,4200000,Rejected,3,0.4562,33814.08
152,5,Graduate,Yes,8900000,28800000,6,772,13600000,5500000,20400000,8400000,Approved,0,0.0894,48816.87
153,1,Graduate,Yes,6500000,20600000,2,306,15900000,1900000,18100000,3200000,Approved,0,0.4327,81145.34
154,2,Not Graduate,No,1300000,4500000,6,415,0,900000,2900000,1200000,Approved,1,0.7096,24959.93
155,3,Not Graduate,No,9400000,35000000,16,548,18200000,4400000,36100000,4800000,Rejected,4,0.7872,72326.83
156,5,Not Graduate,No,5000000,11200000,8,701,9100000,500000,14000000,4600000,Approved,0,0.1761,1760.2
157,2,Graduate,No,3000000,7700000,12,890,4700000,4300000,8400000,2100000,Approved,0,0.2073,45407.02
158,5,Not Graduate,Yes,9900000,33300000,6,364,5300000,18700000,27800000,8300000,Rejected,2,0.4922,174913.05
159,5,Graduate,Yes,700000,1300000,20,704,1600000,0,2200000,600000,Approved,0,0.0888,19658.61
160,3,Graduate,Yes,4000000,10600000,10,318,1500000,5100000,8000000,4900000,Rejected,1,0.4574,68771.59
161,5,Not Graduate,No,3100000,9600000,2,761,5800000,1800000,10400000,4200000,Approved,0,0.369,42601.85
162,4,Not Graduate,No,4500000,15100000,6,693,3700000,1500000,17800000,6000000,Approved,0,0.321,75258.96
163,3,Not Graduate,No,9700000,20600000,16,524,24200000,11100000,27400000,6100000,Rejected,1,0.6782,262518.55
164,2,Not Graduate,Yes,2000000,5300000,10,681,4900000,1400000,4300000,2900000,Approved,0,0.24,48322.06
165,2,Graduate,Yes,8100000,22300000,18,737,22300000,12600000,27000000,7300000,Approved,0,0.419,76303.73
166,0,Not Graduate,No,5700000,15900000,16,638,100000,9500000,16300000,4500000,Approved,0,0.0791,39443.54
167,4,Not Graduate,No,5800000,12800000,2,656,500000,5000000,16000000,2800000,Approved,0,0.1622,44428.85
168,1,Graduate,No,1800000,6500000,6,540,2500000,3200000,5000000,1100000,Rejected,0,0.56,26482.1
169,4,Not Graduate,Yes,9100000,35200000,6,341,1000000,300000,23100000,8200000,Rejected,0,0.8195,197483.13
170,0,Not Graduate,Yes,4800000,17500000,2,371,11700000,6800000,18700000,3500000,Approved,0,0.447,70450.69
171,3,Not Graduate,Yes,3800000,10500000,12,886,4000000,500000,14900000,2300000,Approved,0,0.1463,7514.1
172,0,Not Graduate,No,1900000,4100000,18,801,400000,800000,4800000,1200000,Approved,0,0.3997,40098.43
173,3,Not Graduate,Yes,3600000,9500000,16,748,7700000,2400000,9700000,2600000,Approved,0,0.3822,84626.86
174,2,Not Graduate,Yes,7400000,28200000,8,376,21900000,5000000,17400000,5200000,Rejected,0,0.4848,62483.29
175,4,Not Graduate,Yes,6600000,14300000,8,371,10800000,9500000,18500000,7400000,Rejected,1,0.5896,127844.2
176,2,Graduate,No,1800000,5300000,6,826,4500000,700000,6500000,1300000,Approved,0,0.2139,22396.07
177,4,Not Graduate,No,9200000,27200000,12,873,4500000,1800000,33800000,11400000,Approved,0,0.4413,238580.36
178,5,Not Graduate,Yes,2400000,8600000,8,309,500000,600000,5700000,2800000,Rejected,0,0.4585,59165.79
179,4,Not Graduate,No,5600000,13300000,20,869,3300000,7500000,20000000,6500000,Approved,0,0.3697,85820.56
180,5,Graduate,No,3800000,13900000,12,534,4700000,2900000,8200000,2800000,Rejected,0,0.5505,76641.86
181,3,Not Graduate,Yes,4500000,17900000,6,787,9800000,3600000,14300000,4200000,Approved,0,0.3423,115939.65
182,0,Graduate,Yes,900000,2200000,16,566,100000,700000,2000000,600000,Approved,0,0.218,13012.57
183,0,Not Graduate,No,2800000,9900000,8,742,4900000,1300000,6700000,1700000,Approved,0,0.2813,25582.14
184,2,Not Graduate,No,7500000,23100000,4,824,12100000,10900000,26300000,9500000,Approved,0,0.383,164864.47
185,4,Graduate,No,1400000,3100000,14,575,3000000,2100000,4900000,1400000,Approved,0,0.3717,8986.04
186,2,Graduate,Yes,3800000,10900000,10,766,1900000,3900000,8600000,3000000,Approved,0,0.3966,43062.2
187,1,Not Graduate,Yes,1700000,5000000,10,888,2900000,900000,4100000,2200000,Approved,0,0.0738,42925.64
188,3,Graduate,Yes,9000000,30400000,6,638,16800000,11000000,26900000,9200000,Approved,0,0.3268,190160.86
189,5,Not Graduate,Yes,7300000,23300000,6,622,7100000,11600000,26400000,10500000,Approved,0,0.106,85978.09
190,1,Not Graduate,No,7400000,19800000,18,458,12600000,6200000,27700000,4000000,Rejected,0,0.5995,46349.02
191,1,Not Graduate,No,9000000,28200000,16,327,1700000,2300000,24000000,11200000,Rejected,0,0.6792,93441.7
192,0,Not Graduate,No,3000000,6500000,2,612,8800000,3400000,6700000,1700000,Approved,0,0.2111,24859.11
193,1,Graduate,No,800000,2900000,8,682,2200000,1100000,2900000,700000,Approved,0,0.2578,4108.75
194,2,Graduate,No,4800000,13200000,2,583,13700000,5800000,9500000,5200000,Approved,0,0.4486,104066.61
195,5,Not Graduate,No,6400000,18300000,8,697,10000000,3600000,22500000,3600000,Approved,0,0.1041,47053.05
196,3,Graduate,No,9200000,27100000,12,306,5800000,11500000,28000000,9600000,Rejected,0,0.7553,121868.27
197,4,Not Graduate,Yes,400000,1500000,2,669,-100000,600000,900000,500000,Approved,0,0.2084,4501.69
198,2,Not Graduate,No,2800000,6000000,18,816,6300000,4200000,8000000,3400000,Approved,0,0.1032,80202.99
199,4,Not Graduate,Yes,8500000,28900000,20,455,15200000,5800000,22500000,9400000,Rejected,2,0.4452,96958.29
200,3,Graduate,Yes,4700000,16400000,10,318,11400000,8100000,16200000,4300000,Rejected,2,0.9196,10964.27
201,4,Not Graduate,Yes,9800000,21200000,20,355,22000000,8900000,31800000,14400000,Rejected,1,0.8778,25675.19
202,2,Not Graduate,Yes,3800000,8900000,16,389,200000,5600000,12200000,2200000,Rejected,0,0.8942,65475.2
203,2,Graduate,No,500000,1500000,2,888,1500000,300000,1500000,600000,Approved,0,0.4466,8740.72
204,2,Graduate,Yes,6900000,15600000,6,352,13000000,5300000,22600000,10000000,Rejected,2,0.475,84275.25
205,4,Not Graduate,Yes,9600000,30100000,12,870,300000,6700000,38200000,5600000,Approved,0,0.1922,120916.23
206,3,Not Graduate,No,2900000,6500000,18,827,8300000,600000,10400000,3200000,Approved,0,0.3177,4561.8
207,2,Graduate,No,9800000,20900000,12,768,3400000,10200000,38600000,13400000,Approved,0,0.2435,147646.21
208,0,Graduate,No,7100000,15400000,18,707,10300000,10800000,19600000,5800000,Approved,0,0.2174,104523.13
209,1,Not Graduate,Yes,7700000,19100000,10,355,11300000,4900000,21900000,6600000,Rejected,0,0.5647,33586.28
210,3,Graduate,No,1400000,3300000,2,652,100000,2100000,3500000,1900000,Approved,0,0.2875,4240.11
211,3,Graduate,No,7800000,15900000,2,665,14400000,900000,27200000,5400000,Approved,0,0.2802,28112.74
212,5,Not Graduate,Yes,1700000,6000000,18,420,500000,1600000,3700000,2300000,Rejected,1,0.4469,5009.32
213,2,Not Graduate,No,8500000,32700000,18,471,12600000,9400000,33900000,12500000,Rejected,1,0.633,151156.82
214,5,Not Graduate,No,1900000,7500000,20,715,5100000,2800000,6500000,2800000,Approved,0,0.2714,10888.41
215,2,Not Graduate,Yes,6700000,15200000,10,689,0,8200000,15000000,6800000,Approved,0,0.2781,49133.64
216,3,Graduate,Yes,6900000,16400000,4,787,11100000,6100000,26400000,3800000,Approved,0,0.134,34931.39
217,2,Graduate,No,2600000,7800000,4,819,3100000,4300000,5700000,1500000,Approved,0,0.3469,72635.84
218,4,Graduate,Yes,9600000,21100000,6,809,16100000,9500000,34700000,8700000,Approved,0,0.0601,239292.89
219,1,Not Graduate,Yes,6800000,17000000,2,744,15500000,3900000,23700000,3500000,Approved,0,0.1919,45714.81
220,0,Not Graduate,No,3200000,11300000,6,484,3500000,5500000,8500000,2100000,Rejected,2,0.8181,30572.85
221,4,Not Graduate,No,2900000,10400000,6,673,5100000,1700000,10600000,1700000,Approved,0,0.2756,17753.44
222,3,Graduate,Yes,7900000,21200000,18,695,13800000,10600000,21800000,4900000,Approved,0,0.1545,113336.42
223,4,Not Graduate,Yes,3900000,12400000,12,473,6400000,4700000,13100000,3800000,Rejected,0,0.767,2230.7
224,4,Graduate,Yes,4600000,11000000,2,491,9000000,4000000,16100000,3500000,Rejected,0,0.6904,90075.21
225,3,Not Graduate,Yes,700000,1700000,8,733,1200000,800000,2400000,500000,Approved,0,0.3685,10681.15
226,0,Not Graduate,No,5200000,15600000,20,434,14100000,5800000,18100000,5500000,Rejected,0,0.791,136293.57
227,3,Not Graduate,Yes,5900000,20600000,10,777,1900000,4600000,21200000,6400000,Approved,1,0.294,28289.24
228,4,Graduate,No,7200000,19100000,4,774,9400000,7000000,17900000,3600000,Approved,0,0.2453,168862.94
229,1,Not Graduate,Yes,8700000,27000000,10,717,25500000,8600000,17500000,9100000,Approved,0,0.1033,200960.11
230,3,Not Graduate,Yes,1100000,3500000,12,503,3000000,400000,2200000,1200000,Rejected,1,0.5068,4080.4
231,1,Graduate,Yes,4000000,10900000,14,598,3600000,6600000,13600000,4400000,Approved,0,0.2176,46498.58
232,2,Graduate,No,9800000,32400000,2,543,24200000,17500000,25700000,7700000,Approved,0,0.2897,48635.3
233,0,Not Graduate,Yes,2700000,6800000,20,796,700000,4200000,7000000,1900000,Approved,0,0.2555,20059.24
234,3,Not Graduate,Yes,8800000,34600000,8,386,14800000,16500000,18400000,6000000,Rejected,1,0.5229,67566.52
235,5,Not Graduate,Yes,3300000,7800000,16,632,8500000,500000,7100000,4900000,Approved,0,0.0526,53537.75
236,1,Graduate,Yes,6900000,23400000,4,481,18700000,1100000,23400000,10200000,Approved,0,0.2485,82796.45
237,3,Graduate,Yes,900000,3500000,4,770,700000,0,2000000,600000,Rejected,0,0.5214,24877.99
238,3,Graduate,Yes,4100000,15500000,6,667,2800000,1600000,14700000,4000000,Approved,0,0.3438,15111.76
239,3,Not Graduate,Yes,4700000,17500000,8,585,1200000,3100000,9600000,4900000,Approved,0,0.0596,133476.96
240,5,Graduate,Yes,3400000,11600000,16,479,9200000,5700000,11200000,2400000,Rejected,0,0.7009,22871.67
241,2,Graduate,No,9600000,22500000,18,851,7400000,16200000,24300000,12700000,Approved,0,0.4266,216404.7
242,3,Not Graduate,Yes,7000000,16200000,6,378,20000000,12600000,20300000,5500000,Rejected,3,0.4546,69206.36
243,5,Graduate,No,5700000,12900000,18,807,4100000,900000,18600000,5500000,Approved,0,0.2387,23787.28
